id,title,original_language,popularity,release_date,vote_average,vote_count,tags
637,Life Is Beautiful,it,55.527,1997-12-20,8.5,11179,"comedy,drama a touching story of an italian book seller of jewish ancestry who lives in his own little fairy tale. his creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during world war ii. while locked up he tries to convince his son that the whole thing is just a game."
311,Once Upon a Time in America,en,25.789,1984-05-23,8.5,4241,"drama,crime a former prohibition-era jewish gangster returns to the lower east side of manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
14537,Harakiri,ja,14.472,1962-09-15,8.4,651,"action,drama,history down-on-his-luck veteran tsugumo hanshirō enters the courtyard of the prosperous house of iyi. unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. the senior counselor for the iyi clan questions the ronin’s resolve and integrity, suspecting hanshirō of seeking charity rather than an honorable end. what follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the samurai code."
539,Psycho,en,41.575,1960-06-22,8.4,8288,"horror,drama,thriller when larcenous real estate clerk marion crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious bates motel, where manager norman bates cares for his housebound mother."
652837,"Josee, the Tiger and the Fish",ja,178.195,2020-12-25,8.4,246,"animation,drama,romance with dreams of diving abroad, tsuneo gets a job assisting josee, an artist whose imagination takes her far beyond her wheelchair. but when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook."
40096,A Dog's Will,pt,9.741,2000-09-15,8.4,902,"comedy,drama,fantasy the lively jack the cricket and the sly chicó are poor guys living in the hinterland who cheat a bunch of people in a small in northeastern brazil. when they die, they have to be judged by christ, the devil and the virgin mary before they are admitted to paradise."
12477,Grave of the Fireflies,ja,0.6,1988-04-16,8.4,4217,"animation,drama,war in the final months of world war ii, 14-year-old seita and his sister setsuko are orphaned when their mother is killed during an air raid in kobe, japan. after a falling out with their aunt, they move into an abandoned bomb shelter. with no surviving relatives and their emergency rations depleted, seita and setsuko struggle to survive."
510,One Flew Over the Cuckoo's Nest,en,27.541,1975-05-18,8.4,8703,"drama a petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. he soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward."
550,Fight Club,en,58.676,1999-10-15,8.4,24441,"drama a ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,ja,108.156,2021-03-08,8.4,528,"animation,action,science fiction,drama in the aftermath of the fourth impact, stranded without their evangelions, shinji, asuka, and rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet earth. there, each of them live a life far different from their days as an evangelion pilot. however, the danger to the world is far from over. a new impact is looming on the horizon—one that will prove to be the true end of evangelion."
324857,Spider-Man: Into the Spider-Verse,en,118.785,2018-12-06,8.4,11529,"action,adventure,animation,science fiction miles morales is juggling his life between being a high school student and being a spider-man. when wilson ""kingpin"" fisk uses a super collider, others from across the spider-verse are transported to this dimension."
598,City of God,pt,35.565,2002-02-05,8.4,5886,"drama,crime buscapé was raised in a very violent environment. despite the feeling that all odds were against him, he finds out that life can be seen with other eyes..."
255709,Hope,ko,17.189,2013-10-02,8.4,398,"drama after 8-year-old so-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief."
378064,A Silent Voice: The Movie,ja,170.606,2016-09-17,8.4,3029,"animation,drama,romance shouya ishida starts bullying the new girl in class, shouko nishimiya, because she is deaf. but as the teasing continues, the rest of the class starts to turn on shouya for his lack of compassion. when they leave elementary school, shouko and shouya do not speak to each other again... until an older, wiser shouya, tormented by his past behaviour, decides he must see shouko once more. he wants to atone for his sins, but is it already too late...?"
92321,Hotarubi no Mori e,ja,0.6,2011-09-17,8.4,810,"romance,animation,fantasy one hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. a young boy appears before her, but she cannot touch him for fear of making him disappear. and so a wondrous adventure awaits..."
4935,Howl's Moving Castle,ja,75.091,2004-11-19,8.4,7452,"fantasy,animation,adventure when sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
18491,Neon Genesis Evangelion: The End of Evangelion,ja,32.759,1997-07-19,8.4,1102,"drama,animation,science fiction,action the second of two theatrically released follow-ups to the neon genesis evangelion series. comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities."
1891,The Empire Strikes Back,en,28.323,1980-05-20,8.4,14384,"adventure,action,science fiction the epic saga continues as luke skywalker, in hopes of defeating the evil galactic empire, learns the ways of the jedi from aging master yoda. but darth vader is more determined than ever to capture luke. meanwhile, rebel leader princess leia, cocky han solo, chewbacca, and droids c-3po and r2-d2 are thrown into various stages of capture, betrayal and despair."
